hospital	hosp
Amager og Hvidovre Hospital	AHH
Bispebjerg og Frederiksberg Hospitaler	BFH
Bornholms Hospital	BoH
Herlev og Gentofte Hospital	HGH
Hospitalerne i Nordsjælland	NoH
Rigshospitalet	RH
Aarhus Universitetshospital	AaU
Hospitalsenhed Midt	HeM
Hospitalsenheden Vest	HeV
Regionshospitalet Horsens	RgH
Regionshospitalet Randers	RgR
Aalborg Universitetshospital	AUH
Aalborg Universitetshospital, Thisted	AUT
Regionshospital Nordjylland Ven	RgN
Region Sjællands Sygehusvæsen	SjS
Kolding Sygehus	KoS
OUH Odense Universitetshospital	OUH
Sydvestjysk Sygehus	SvJ
Sygehus Sønderjylland	Ssoe
Vejle Sygehus	VejS
